id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10820066,Basketball Cards 2025 Topps,Cade Cunningham [Team Color Border] #279,$12.99,,$16.78,$30.61,$59.13,$90.11,$117.00,$72.00,$54.00,,,$3.50,$13.99,,,$4.50,$17.99,,15,,,,,2025-10-23
10818514,Basketball Cards 2025 Topps,Cade Cunningham [Team Color Border] #40,$28.75,,$29.48,$52.80,$101.26,$154.76,$201.00,$124.00,$93.00,,,$9.60,$31.99,,,$9.60,$31.99,,54,,,,,2025-10-23
10832662,Basketball Cards 2025 Topps,Cade Cunningham [Topps Foil Pattern] #279,$0.95,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-10-23
10821901,Basketball Cards 2025 Topps,Cade Cunningham [Topps Foil Pattern] #40,$2.22,,$7.01,$13.52,$26.68,$40.25,$52.00,$32.00,$24.00,,,,$2.39,,,$1.50,$7.69,,77,,,,,2025-10-23
10832674,Basketball Cards 2025 Topps,Cade Cunningham [Victory] #279,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10821903,Basketball Cards 2025 Topps,Cade Cunningham [Victory] #40,$4.00,,,,,,,,,,,$0.90,$4.39,,,,,,1,,,,,2025-10-23
10832741,Basketball Cards 2025 Topps,Cade Cunningham [Wood] #279,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10821915,Basketball Cards 2025 Topps,Cade Cunningham [Wood] #40,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10818410,Basketball Cards 2025 Topps,Cam Thomas #11,$0.99,,$6.22,$12.14,$24.06,$36.23,$47.00,$29.00,$22.00,,,,$1.09,,,$1.40,$6.79,,26,,,,,2025-10-23
10820635,Basketball Cards 2025 Topps,Cam Thomas [Black Crackleboard] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820624,Basketball Cards 2025 Topps,Cam Thomas [Black Diamante] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
11547480,Basketball Cards 2025 Topps,Cam Thomas [Black Friday Shimmer] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820616,Basketball Cards 2025 Topps,Cam Thomas [Black Rainbow] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820608,Basketball Cards 2025 Topps,Cam Thomas [Black] #11,$7.50,,$11.81,$21.91,$42.62,$64.79,$84.00,$52.00,$39.00,,,$1.70,$8.29,,,$3.30,$12.99,,11,,,,,2025-10-23
10818414,Basketball Cards 2025 Topps,Cam Thomas [Blackout] #11,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-10-23
10820605,Basketball Cards 2025 Topps,Cam Thomas [Blue Rainbow] #11,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-10-23
10820599,Basketball Cards 2025 Topps,Cam Thomas [Blue Sandglitter] #11,$0.99,,$5.90,$11.57,$22.98,$34.58,$45.00,$28.00,$21.00,,,,$1.09,,,$1.30,$6.49,,10,,,,,2025-10-23
11327308,Basketball Cards 2025 Topps,Cam Thomas [Cart Load] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10818420,Basketball Cards 2025 Topps,Cam Thomas [Clear] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820631,Basketball Cards 2025 Topps,Cam Thomas [Crackleboard] #11,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-10-23
11327464,Basketball Cards 2025 Topps,Cam Thomas [Cyber Circuit] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820620,Basketball Cards 2025 Topps,Cam Thomas [Diamante] #11,$1.03,,$5.93,$11.63,$23.10,$34.76,$45.00,$28.00,$21.00,,,,$1.09,,,$1.30,$6.49,,15,,,,,2025-10-23
11324588,Basketball Cards 2025 Topps,Cam Thomas [Doorbuster] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10818424,Basketball Cards 2025 Topps,Cam Thomas [First] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
11327163,Basketball Cards 2025 Topps,Cam Thomas [Flash Drop] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820618,Basketball Cards 2025 Topps,Cam Thomas [Foilfractor] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820634,Basketball Cards 2025 Topps,Cam Thomas [Gold Crackleboard] #11,$5.99,,,,,,,,,,,$1.30,$6.59,,,,,,1,,,,,2025-10-23
10820622,Basketball Cards 2025 Topps,Cam Thomas [Gold Diamante] #11,$10.00,,,,,,,,,,,$2.80,$10.99,,,,,,1,,,,,2025-10-23
10820610,Basketball Cards 2025 Topps,Cam Thomas [Gold Rainbow] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820600,Basketball Cards 2025 Topps,Cam Thomas [Gold] #11,$2.72,,$7.41,$14.21,$27.99,$42.30,$55.00,$34.00,$25.00,,,,$2.99,,,$1.60,$8.19,,26,,,,,2025-10-23
10818434,Basketball Cards 2025 Topps,Cam Thomas [Golden Mirror] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820632,Basketball Cards 2025 Topps,Cam Thomas [Green Crackleboard] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820606,Basketball Cards 2025 Topps,Cam Thomas [Green Rainbow] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820595,Basketball Cards 2025 Topps,Cam Thomas [Holo Aqua Foil] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820614,Basketball Cards 2025 Topps,Cam Thomas [Holo Black Foil] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820604,Basketball Cards 2025 Topps,Cam Thomas [Holo Blue Foil] #11,$7.50,,$11.81,$21.91,$42.62,$64.79,$84.00,$52.00,$39.00,,,$1.70,$8.29,,,$3.30,$12.99,,21,,,,,2025-10-23
10820593,Basketball Cards 2025 Topps,Cam Thomas [Holo Foil] #11,$5.00,,,,,,,,,,,$1.10,$5.49,,,,,,1,,,,,2025-10-23
10820609,Basketball Cards 2025 Topps,Cam Thomas [Holo Gold Foil] #11,$0.99,,,,,,,,,,,,$1.09,,,,,,1,,,,,2025-10-23
10820607,Basketball Cards 2025 Topps,Cam Thomas [Holo Green Foil] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820611,Basketball Cards 2025 Topps,Cam Thomas [Holo Orange Foil] #11,$19.99,,,,,,,,,,,$6.60,$21.99,,,,,,1,,,,,2025-10-23
10820596,Basketball Cards 2025 Topps,Cam Thomas [Holo Pink Foil] #11,$1.95,,$6.77,$13.10,$25.88,$39.04,$51.00,$31.00,$23.00,,,,$2.19,,,$1.50,$7.49,,13,,,,,2025-10-23
10820619,Basketball Cards 2025 Topps,Cam Thomas [Holo Platinum Foil] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820603,Basketball Cards 2025 Topps,Cam Thomas [Holo Purple Foil] #11,$2.99,,$7.72,$14.75,$29.03,$43.91,$57.00,$35.00,$26.00,,,,$3.29,,,$1.70,$8.49,,13,,,,,2025-10-23
10820615,Basketball Cards 2025 Topps,Cam Thomas [Holo Red Foil] #11,$31.00,,,,,,,,,,,$10.20,$33.99,,,,,,1,,,,,2025-10-23
