category,url,console_uid,slug,page_name,csv_url
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-prizm-wnba-fearless,G27532,basketball-cards-2020-panini-prizm-wnba-fearless,2020 Panini Prizm WNBA Fearless Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G27532
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-prizm-wnba-fireworks,G27533,basketball-cards-2020-panini-prizm-wnba-fireworks,2020 Panini Prizm WNBA Fireworks Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G27533
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-prizm-wnba-get-hyped,G27534,basketball-cards-2020-panini-prizm-wnba-get-hyped,2020 Panini Prizm WNBA Get Hyped Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G27534
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-prizm-wnba-signatures,G27535,basketball-cards-2020-panini-prizm-wnba-signatures,2020 Panini Prizm WNBA Signatures Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G27535
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-prizm-wnba-widescreen,G27536,basketball-cards-2020-panini-prizm-wnba-widescreen,2020 Panini Prizm WNBA Widescreen Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G27536
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-prizm-widescreen,G36851,basketball-cards-2020-panini-prizm-widescreen,2020 Panini Prizm Widescreen Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G36851
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-recon,G47193,basketball-cards-2020-panini-recon,2020 Panini Recon Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47193
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-recon-eyes-on-the-prize,G47194,basketball-cards-2020-panini-recon-eyes-on-the-prize,2020 Panini Recon Eyes On The Prize Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47194
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-recon-future-legends,G47195,basketball-cards-2020-panini-recon-future-legends,2020 Panini Recon Future Legends Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47195
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-recon-glorified-signatures,G47196,basketball-cards-2020-panini-recon-glorified-signatures,2020 Panini Recon Glorified Signatures Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47196
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-recon-maneuvers,G47197,basketball-cards-2020-panini-recon-maneuvers,2020 Panini Recon Maneuvers Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47197
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-recon-rock-the-rim,G47199,basketball-cards-2020-panini-recon-rock-the-rim,2020 Panini Recon Rock The Rim Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47199
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-recon-rookie,G47202,basketball-cards-2020-panini-recon-rookie,2020 Panini Recon Rookie Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47202
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-recon-rookie-review,G47204,basketball-cards-2020-panini-recon-rookie-review,2020 Panini Recon Rookie Review Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47204
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-recon-scouting-reports,G47205,basketball-cards-2020-panini-recon-scouting-reports,2020 Panini Recon Scouting Reports Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47205
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-recon-signatures,G47198,basketball-cards-2020-panini-recon-signatures,2020 Panini Recon Signatures Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47198
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-recon-sky%27s-the-limit,G47206,basketball-cards-2020-panini-recon-sky%27s-the-limit,2020 Panini Recon Sky'S The Limit Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47206
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-revolution,G24437,basketball-cards-2020-panini-revolution,2020 Panini Revolution Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G24437
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-revolution-autographs,G24438,basketball-cards-2020-panini-revolution-autographs,2020 Panini Revolution Autographs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G24438
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-revolution-liftoff,G24442,basketball-cards-2020-panini-revolution-liftoff,2020 Panini Revolution Liftoff Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G24442
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-revolution-rookie,G24441,basketball-cards-2020-panini-revolution-rookie,2020 Panini Revolution Rookie Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G24441
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-revolution-rookie-autographs,G24439,basketball-cards-2020-panini-revolution-rookie-autographs,2020 Panini Revolution Rookie Autographs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G24439
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-revolution-shockwave,G24443,basketball-cards-2020-panini-revolution-shockwave,2020 Panini Revolution Shockwave Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G24443
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-revolution-supernova,G24444,basketball-cards-2020-panini-revolution-supernova,2020 Panini Revolution Supernova Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G24444
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-revolution-vortex,G24445,basketball-cards-2020-panini-revolution-vortex,2020 Panini Revolution Vortex Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G24445
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-select,G43176,basketball-cards-2020-panini-select,2020 Panini Select Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G43176
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-select-company,G43187,basketball-cards-2020-panini-select-company,2020 Panini Select Company Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G43187
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-select-draft-selections-memorabilia,G43179,basketball-cards-2020-panini-select-draft-selections-memorabilia,2020 Panini Select Draft Selections Memorabilia Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G43179
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-select-numbers,G43189,basketball-cards-2020-panini-select-numbers,2020 Panini Select Numbers Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G43189
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-select-rookie-jersey-autographs,G43184,basketball-cards-2020-panini-select-rookie-jersey-autographs,2020 Panini Select Rookie Jersey Autographs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G43184
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-select-rookie-selections,G43185,basketball-cards-2020-panini-select-rookie-selections,2020 Panini Select Rookie Selections Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G43185
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-select-signatures,G43193,basketball-cards-2020-panini-select-signatures,2020 Panini Select Signatures Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G43193
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-select-turbo-charged,G43195,basketball-cards-2020-panini-select-turbo-charged,2020 Panini Select Turbo Charged Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G43195
