category,url,console_uid,slug,page_name,csv_url
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-flux-appeal,G48206,basketball-cards-2020-panini-flux-appeal,2020 Panini Flux Appeal Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G48206
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-flux-deja-vu,G48200,basketball-cards-2020-panini-flux-deja-vu,2020 Panini Flux Deja Vu Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G48200
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-flux-flow-motion,G48204,basketball-cards-2020-panini-flux-flow-motion,2020 Panini Flux Flow Motion Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G48204
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-flux-freshman-year,G48209,basketball-cards-2020-panini-flux-freshman-year,2020 Panini Flux Freshman Year Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G48209
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-flux-titan-legends,G48219,basketball-cards-2020-panini-flux-titan-legends,2020 Panini Flux Titan Legends Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G48219
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-flux-titan-rookies,G48220,basketball-cards-2020-panini-flux-titan-rookies,2020 Panini Flux Titan Rookies Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G48220
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops,G25462,basketball-cards-2020-panini-hoops,2020 Panini Hoops Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25462
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-arriving-now,G25532,basketball-cards-2020-panini-hoops-arriving-now,2020 Panini Hoops Arriving Now Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25532
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-city-edition,G25537,basketball-cards-2020-panini-hoops-city-edition,2020 Panini Hoops City Edition Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25537
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-class-of,G25539,basketball-cards-2020-panini-hoops-class-of,2020 Panini Hoops Class Of Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25539
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-frequent-flyers,G25541,basketball-cards-2020-panini-hoops-frequent-flyers,2020 Panini Hoops Frequent Flyers Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25541
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-great-significance,G25544,basketball-cards-2020-panini-hoops-great-significance,2020 Panini Hoops Great SIGnificance Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25544
